playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
bonifem01,"Emilio Bonifacio",D.R.,3000000,FLO
bonilbo01,"Bobby Bonilla",USA,6300000,CHA
bonilju01,"Juan Bonilla",P.R.,120000,BAL
bonined01,"Eddie Bonine",USA,404000,DET
bonneba01,"Barry Bonnell",USA,437500,SEA
bonsebo01,"Boof Bonser",USA,650000,MIN
bookech01,"Chris Booker",USA,350000,PHI
bookegr01,"Greg Booker",USA,130000,SDN
bookero01,"Rod Booker",USA,140000,SLN
booneaa01,"Aaron Boone",USA,3750000,CIN
boonebo01,"Bob Boone",USA,1900000,CAL
boonebr01,"Bret Boone",USA,9000000,CIN
bootcch01,"Chris Bootcheck",USA,415000,LAA
bootyjo01,"Josh Booty",USA,170000,FLO
borboju01,"Julio Borbon",USA,600000,TEX
borbope02,"Pedro Borbon",D.R.,1650000,ATL
borchjo01,"Joe Borchard",USA,380000,SEA
bordepa01,"Pat Borders",USA,2500000,TOR
bordimi01,"Mike Bordick",USA,4873439,OAK
bordiri01,"Rich Bordi",USA,250000,BOS
borkoda01,"Dave Borkowski",USA,800000,DET
borlato02,"Toby Borland",USA,262500,PHI
borowjo01,"Joe Borowski",USA,4000000,BAL
bosioch01,"Chris Bosio",USA,4250000,ML4
boskish01,"Shawn Boskie",USA,660000,CHN
bosleth01,"Thad Bosley",USA,457500,CHN
bostoda01,"Daryl Boston",USA,935000,CHA
bottari01,"Ricky Bottalico",USA,2300000,PHI
botteke01,"Kent Bottenfield",USA,4000000,MON
bottsja01,"Jason Botts",USA,394190,TEX
bouchde01,"Denis Boucher",CAN,135000,CLE
bourgja01,"Jason Bourgeois",USA,522500,HOU
bourgst01,"Steve Bourgeois",USA,109000,SFN
bourjpe01,"Peter Bourjos",USA,1650000,LAA
bournmi01,"Michael Bourn",USA,13500000,PHI
bournra01,"Rafael Bournigal",D.R.,400000,LAN
bowala01,"Larry Bowa",USA,525000,NYN
bowdemi01,"Michael Bowden",USA,509500,BOS
bowenro01,"Rob Bowen",USA,410000,SDN
bowenry01,"Ryan Bowen",USA,185000,HOU
bowiemi01,"Micah Bowie",USA,650000,CHN
bowkejo01,"John Bowker",USA,441500,SFN
boxbebr01,"Brad Boxberger",USA,521400,TBA
boydja02,"Jason Boyd",USA,350000,PHI
boydoi01,"Oil Can Boyd",USA,1500000,BOS
boyerbl01,"Blaine Boyer",USA,750000,ATL
brachbr01,"Brad Brach",USA,523000,SDN
braddza01,"Zach Braddock",USA,424000,MIL
bradeda01,"Dallas Braden",USA,3350000,OAK
bradfch01,"Chad Bradford",USA,3666666,CHA
bradlja02,"Jackie Bradley",USA,528000,BOS
bradlmi01,"Milton Bradley",USA,13000000,MON
bradlph01,"Phil Bradley",USA,1150000,SEA
bradlsc01,"Scott Bradley",USA,837500,CHA
bradste01,"Terry Bradshaw",USA,109000,SLN
braggda01,"Darren Bragg",USA,800000,SEA
bragggl01,"Glenn Braggs",USA,1000000,ML4
brandma01,"Mark Brandenburg",USA,222500,TEX
bransje01,"Jeff Branson",USA,550000,CIN
brantje01,"Jeff Brantley",USA,2800000,SFN
brantmi01,"Mickey Brantley",USA,170000,SEA
brantmi02,"Michael Brantley",USA,5875000,CLE
brantro01,"Rob Brantly",USA,490000,MIA
branyru01,"Russell Branyan",USA,1500000,CLE
braunry01,"Ryan Braun",CAN,380000,KCA
braunry02,"Ryan Braun",USA,13000000,MIL
braunst01,"Steve Braun",USA,160000,SLN
braybi01,"Bill Bray",USA,1417500,CIN
brazede01,"Dewon Brazelton",USA,1124000,TBA
brazoyh01,"Yhency Brazoban",D.R.,395000,LAN
breamsi01,"Sid Bream",USA,2400000,PIT
bredebr01,"Brent Brede",USA,190000,MIN
brenlbo01,"Bob Brenly",USA,680000,SFN
brennwi01,"William Brennan",USA,62500,LAN
breslcr01,"Craig Breslow",USA,3825000,CLE
brettge01,"George Brett",USA,3105000,KCA
brewebi01,"Billy Brewer",USA,320000,KCA
brewero01,"Rod Brewer",USA,125000,SLN
brewija01,"Jamie Brewington",USA,109000,SFN
brignre01,"Reid Brignac",USA,499000,TBA
brilegr01,"Greg Briley",USA,570000,SEA
briscjo01,"John Briscoe",USA,150000,OAK
britojo01,"Jorge Brito",D.R.,130000,COL
britoti01,"Tilson Brito",D.R.,160000,TOR
brittdr01,"Drake Britton",USA,503000,BOS
brittza01,"Zach Britton",USA,3200000,BAL
brocado01,"Doug Brocail",USA,2500000,SDN
brockch01,"Chris Brock",USA,1000000,SFN
brockgr01,"Greg Brock",USA,937500,LAN
brockta01,"Tarrik Brock",USA,200000,CHN
